Cooperativa,Nome fantasia,Estado,Cidade,Status da escola,Programa Educacional
Sicredi Vale do Jaguari e Zona da Mata RS/MG,EMEI Boa Vista,RIO GRANDE DO SUL,SANTIAGO,Ativo,A União Faz a Vida
Sicredi Gerações RS/MG,Escola Estadual de Ensino Fundamental Rita Lobato,RIO GRANDE DO SUL,PANTANO GRANDE,Ativo,A União Faz a Vida
Sicredi Gerações RS/MG,Escola Estadual de Ensino Fundamental Rita Lobato,RIO GRANDE DO SUL,PANTANO GRANDE,Ativo,Jornada da Educação Financeira nas Escolas
Sicredi Aliança RS/SC/ES,EMEI Favo de Mel,RIO GRANDE DO SUL,MARAU,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEI Clemenciano Barnasque,RIO GRANDE DO SUL,SAO SEPE,Ativo,A União Faz a Vida
Sicredi Aliança RS/SC/ES,Escola Reunida Balcino Matias Wagner,SANTA CATARINA,ALFREDO WAGNER,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,Escola Municipal Alípio Nogueira do Amaral,MINAS GERAIS,JUATUBA,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEF ARTUR,RIO GRANDE DO SUL,SAO PEDRO DO SUL,Ativo,A União Faz a Vida
Sicredi Aliança RS/SC/ES,Escola Básica Passo da Limeira,SANTA CATARINA,ALFREDO WAGNER,Ativo,A União Faz a Vida
Sicredi Aliança RS/SC/ES,EI Picadas,SANTA CATARINA,ALFREDO WAGNER,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,Escola Municipal Miguel Rodrigues Duarte,MINAS GERAIS,JUATUBA,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,E.M.E.F.Acácio Antônio Vieira,RIO GRANDE DO SUL,FORMIGUEIRO,Ativo,A União Faz a Vida
Sicredi Vale do Jaguari e Zona da Mata RS/MG,Emei Recanto da Alegria,RIO GRANDE DO SUL,SANTIAGO,Ativo,A União Faz a Vida
Sicredi Aliança RS/SC/ES,Núcleo Esc. Alto Vargedo,SANTA CATARINA,LEOBERTO LEAL,Ativo,A União Faz a Vida
Sicredi Vale do Jaguari e Zona da Mata RS/MG,CIEP,RIO GRANDE DO SUL,NOVA ESPERANCA DO SUL,Ativo,A União Faz a Vida
Sicredi Aliança RS/SC/ES,EMEI Pequeno Aprendiz,RIO GRANDE DO SUL,MARAU,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,E.M.E.I.E.F Antenor Elias de Mattos,RIO GRANDE DO SUL,PIRATINI,Ativo,A União Faz a Vida
Sicredi Vale do Jaguari e Zona da Mata RS/MG,EMEI Letra e Magia Jaguari,RIO GRANDE DO SUL,JAGUARI,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,EMEF IRINEO ANTOLINI,RIO GRANDE DO SUL,SANTA MARIA,Ativo,A União Faz a Vida
Sicredi Gerações RS/MG,EMEF Salgado Filho,RIO GRANDE DO SUL,CACHOEIRA DO SUL,Ativo,Cooperativas Escolares
Sicredi Gerações RS/MG,EMEF Adão Freitas Fonseca,RIO GRANDE DO SUL,ENCRUZILHADA DO SUL,Ativo,Jornada da Educação Financeira nas Escolas
Sicredi Região Centro RS/MG,EMEF Leonardo Kurtz,RIO GRANDE DO SUL,SAO SEPE,Ativo,A União Faz a Vida
Sicredi Gerações RS/MG,EMEF Machado de Assis,RIO GRANDE DO SUL,PANTANO GRANDE,Ativo,A União Faz a Vida
Sicredi Aliança RS/SC/ES,Escola Isolada Rio Adaga,SANTA CATARINA,ALFREDO WAGNER,Ativo,A União Faz a Vida
Sicredi Integração de Estados RS/SC/MG,EMEB Leopoldo Sonntag,SANTA CATARINA,LONTRAS,Ativo,A União Faz a Vida
Sicredi Aliança RS/SC/ES,EMEF Ana Paula Fincatto,RIO GRANDE DO SUL,CASCA,Ativo,A União Faz a Vida
Sicredi Aliança RS/SC/ES,EMEI Mágico de Oz,RIO GRANDE DO SUL,MARAU,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,E.M.E.F Dona Maria José da Rosa,RIO GRANDE DO SUL,CACAPAVA DO SUL,Ativo,A União Faz a Vida
Sicredi Aliança RS/SC/ES,EMEI Paraiso Infantil,RIO GRANDE DO SUL,MARAU,Ativo,A União Faz a Vida
Sicredi Aliança RS/SC/ES,EMEI Gelso Falkemback Ribeiro,RIO GRANDE DO SUL,NICOLAU VERGUEIRO,Ativo,A União Faz a Vida
Sicredi Gerações RS/MG,EMEF 19 de Julho,RIO GRANDE DO SUL,ENCRUZILHADA DO SUL,Ativo,Jornada da Educação Financeira nas Escolas
Sicredi Gerações RS/MG,EMEI Paraíso Infantil,RIO GRANDE DO SUL,ENCRUZILHADA DO SUL,Ativo,A União Faz a Vida
Sicredi das Culturas RS/MG,EMEF CONQUISTA DEZESSEIS DE OUTUBRO,RIO GRANDE DO SUL,JOIA,Ativo,A União Faz a Vida
Sicredi das Culturas RS/MG,EMEF Silva Jardim,RIO GRANDE DO SUL,JOIA,Ativo,A União Faz a Vida
Sicredi Aliança RS/SC/ES,EMEI Cantinho do Coração,RIO GRANDE DO SUL,MARAU,Ativo,A União Faz a Vida
Sicredi Região Centro RS/MG,Escola Municipal Filhinha Gama,MINAS GERAIS,SAO JOSE DA LAPA,Ativo,Jornada da Educação Financeira nas Escolas
